epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.7772,1.17465,2.2804,1.14967,0.92298,0.45064,0.63003,0.41613,1.12914,2.40346,1.07152,0.000412621,0.000412621,0.000412621
2,116.851,0.96724,1.10699,1.02171,0.71973,0.7205,0.72495,0.46078,1.20229,1.45026,1.17854,0.000821078,0.000821078,0.000821078
3,168.92,0.95101,0.99,1.01672,0.72543,0.75877,0.76688,0.49886,1.07576,1.30508,1.10667,0.00122128,0.00122128,0.00122128
4,224.135,0.86841,0.85354,0.97536,0.89153,0.73424,0.8307,0.5726,0.99584,1.06161,1.0607,0.00121287,0.00121287,0.00121287
5,278.327,0.87234,0.80564,0.97927,0.82224,0.79126,0.85737,0.58506,0.96071,0.98073,1.00644,0.0012005,0.0012005,0.0012005
6,328.54,0.82212,0.74051,0.96,0.87733,0.82772,0.89594,0.63191,0.8784,0.88068,0.98075,0.00118812,0.00118812,0.00118812
7,379.776,0.8092,0.71981,0.95747,0.86818,0.69072,0.81053,0.5688,0.90338,0.91222,1.00343,0.00117575,0.00117575,0.00117575
8,433.919,0.8097,0.68092,0.95613,0.84864,0.82457,0.88564,0.62246,0.87538,0.78042,0.97615,0.00116337,0.00116337,0.00116337
9,483.769,0.77775,0.64888,0.9395,0.88143,0.83171,0.89039,0.62767,0.86503,0.79042,0.96524,0.001151,0.001151,0.001151
10,534.4,0.7838,0.63831,0.95317,0.91373,0.81188,0.90983,0.65197,0.84494,0.70839,0.94489,0.00113863,0.00113863,0.00113863
11,586.85,0.76103,0.60171,0.93724,0.89181,0.81849,0.91081,0.65167,0.8378,0.71422,0.97212,0.00112625,0.00112625,0.00112625
12,641.287,0.72777,0.56205,0.92441,0.905,0.86062,0.91135,0.64929,0.86088,0.6434,1.00911,0.00111388,0.00111388,0.00111388
13,693.503,0.72792,0.56413,0.93039,0.88833,0.86844,0.92688,0.67098,0.80938,0.6392,0.94464,0.0011015,0.0011015,0.0011015
14,746.015,0.71383,0.54879,0.92042,0.93148,0.78497,0.91123,0.65379,0.84721,0.63633,0.97783,0.00108913,0.00108913,0.00108913
15,799.884,0.71246,0.52603,0.92027,0.89234,0.89861,0.93753,0.67484,0.85142,0.61191,0.97363,0.00107675,0.00107675,0.00107675
16,854.865,0.69942,0.51376,0.91526,0.87381,0.88969,0.92877,0.67882,0.8264,0.58867,0.95174,0.00106437,0.00106437,0.00106437
17,906.682,0.71775,0.51171,0.91354,0.89849,0.89206,0.93929,0.6846,0.82539,0.60987,0.93832,0.001052,0.001052,0.001052
18,959.117,0.68227,0.48475,0.90975,0.8775,0.92033,0.93419,0.68806,0.78161,0.55192,0.92755,0.00103962,0.00103962,0.00103962
19,1009.53,0.6957,0.48864,0.91026,0.92465,0.84473,0.94373,0.71259,0.75877,0.55191,0.91136,0.00102725,0.00102725,0.00102725
20,1061.04,0.67569,0.47516,0.90805,0.88034,0.90235,0.94346,0.69186,0.79275,0.53178,0.95257,0.00101488,0.00101488,0.00101488
21,1110.47,0.69261,0.47965,0.90837,0.88115,0.92472,0.94275,0.71258,0.77766,0.54139,0.95602,0.0010025,0.0010025,0.0010025
22,1158.93,0.67567,0.46942,0.90728,0.89551,0.9127,0.9423,0.69268,0.79991,0.51873,0.96564,0.000990125,0.000990125,0.000990125
23,1210.63,0.64607,0.4511,0.89965,0.86373,0.91898,0.93823,0.70359,0.77026,0.5238,0.92387,0.00097775,0.00097775,0.00097775
24,1263.96,0.67898,0.46558,0.90749,0.87867,0.89627,0.9453,0.68802,0.82013,0.56229,0.95489,0.000965375,0.000965375,0.000965375
25,1317.17,0.66475,0.4555,0.89742,0.90515,0.91975,0.95545,0.71735,0.78555,0.51787,0.9312,0.000953,0.000953,0.000953
26,1367.86,0.6514,0.45032,0.90311,0.87475,0.85973,0.94986,0.71358,0.75834,0.54992,0.92801,0.000940625,0.000940625,0.000940625
27,1418.86,0.65766,0.45587,0.90121,0.87402,0.88814,0.93375,0.69901,0.77647,0.52416,0.94969,0.00092825,0.00092825,0.00092825
28,1466.35,0.6599,0.44531,0.90437,0.87915,0.95666,0.96417,0.72448,0.73086,0.48779,0.90795,0.000915875,0.000915875,0.000915875
29,1514.07,0.64702,0.43443,0.89976,0.90493,0.89224,0.94795,0.71812,0.72718,0.51032,0.91656,0.0009035,0.0009035,0.0009035
30,1561.83,0.66233,0.44528,0.90489,0.9304,0.91252,0.95404,0.71336,0.7861,0.49787,0.9254,0.000891125,0.000891125,0.000891125
31,1610.01,0.67059,0.44075,0.8992,0.91675,0.92284,0.95753,0.72352,0.75256,0.47298,0.9505,0.00087875,0.00087875,0.00087875
32,1658.04,0.647,0.42168,0.89671,0.92168,0.90907,0.95543,0.72382,0.74541,0.48132,0.90823,0.000866375,0.000866375,0.000866375
33,1704.95,0.6277,0.41418,0.8862,0.88912,0.93046,0.95088,0.7276,0.72895,0.4779,0.89936,0.000854,0.000854,0.000854
34,1751.99,0.63603,0.42154,0.89125,0.9363,0.9245,0.96602,0.74263,0.72687,0.45406,0.91281,0.000841625,0.000841625,0.000841625
35,1798.26,0.63032,0.40852,0.88864,0.90533,0.9186,0.94827,0.72551,0.75736,0.47652,0.92745,0.00082925,0.00082925,0.00082925
36,1846.06,0.63201,0.41687,0.8897,0.89291,0.94131,0.95621,0.73633,0.73244,0.47629,0.90958,0.000816875,0.000816875,0.000816875
37,1896.17,0.62111,0.40748,0.89183,0.90986,0.9274,0.95235,0.74521,0.70711,0.45675,0.90323,0.0008045,0.0008045,0.0008045
38,1942,0.64019,0.41559,0.89454,0.91042,0.9027,0.95294,0.7361,0.73987,0.46587,0.90572,0.000792125,0.000792125,0.000792125
39,1988.48,0.60638,0.40093,0.88994,0.90549,0.94411,0.95933,0.73876,0.70139,0.44615,0.88397,0.00077975,0.00077975,0.00077975
40,2045.58,0.61043,0.39855,0.88519,0.93347,0.90902,0.95775,0.75234,0.67688,0.45205,0.89052,0.000767375,0.000767375,0.000767375
41,2106.67,0.62016,0.39386,0.88803,0.93561,0.9225,0.9702,0.74102,0.72236,0.45203,0.89887,0.000755,0.000755,0.000755
42,2166.06,0.61757,0.40279,0.88949,0.91564,0.9351,0.96211,0.74342,0.71627,0.44572,0.91077,0.000742625,0.000742625,0.000742625
43,2220.9,0.61165,0.38963,0.88385,0.94027,0.91661,0.96378,0.75254,0.71309,0.42427,0.91331,0.00073025,0.00073025,0.00073025
44,2276.7,0.60113,0.38255,0.88507,0.92084,0.91063,0.95467,0.73363,0.73162,0.48445,0.90735,0.000717875,0.000717875,0.000717875
45,2334.56,0.60024,0.38679,0.88105,0.90245,0.95165,0.96122,0.75295,0.69544,0.43724,0.89568,0.0007055,0.0007055,0.0007055
46,2400.65,0.60814,0.38427,0.87794,0.91759,0.93655,0.9634,0.75432,0.72703,0.41174,0.92645,0.000693125,0.000693125,0.000693125
47,2460.62,0.58855,0.37637,0.88156,0.92938,0.91386,0.96523,0.75241,0.71987,0.42872,0.90264,0.00068075,0.00068075,0.00068075
48,2518.57,0.5832,0.37311,0.87687,0.92601,0.93492,0.97024,0.75823,0.68448,0.40877,0.89864,0.000668375,0.000668375,0.000668375
49,2577.85,0.58799,0.37267,0.87821,0.91823,0.94865,0.9652,0.76225,0.68016,0.41317,0.88097,0.000656,0.000656,0.000656
50,2633.79,0.59886,0.37955,0.87852,0.91426,0.95234,0.96337,0.75734,0.70136,0.44515,0.89385,0.000643625,0.000643625,0.000643625
51,2698.99,0.58741,0.37152,0.87713,0.91156,0.94107,0.96745,0.76429,0.67423,0.42376,0.89,0.00063125,0.00063125,0.00063125
52,2754.21,0.58,0.36976,0.87857,0.8888,0.95485,0.96965,0.75154,0.71631,0.41947,0.90526,0.000618875,0.000618875,0.000618875
53,2814.33,0.57938,0.36264,0.87417,0.9155,0.91511,0.96015,0.7478,0.67019,0.45358,0.88161,0.0006065,0.0006065,0.0006065
54,2879.43,0.57759,0.36907,0.87632,0.91279,0.94194,0.973,0.75026,0.70146,0.41991,0.8814,0.000594125,0.000594125,0.000594125
55,2942.85,0.58206,0.36032,0.86882,0.92289,0.95744,0.97714,0.76631,0.67547,0.40524,0.87734,0.00058175,0.00058175,0.00058175
56,3006.4,0.577,0.36023,0.87425,0.91488,0.95684,0.96819,0.76259,0.68601,0.40946,0.89239,0.000569375,0.000569375,0.000569375
